,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
1051,MA0845.1.FOXB1,-0.8529408598598629,TF_decrease,0.781851274050962_KS,0.020879120861068738,0.034575337169349976,True,False
1052,MA0838.1.CEBPG,-0.18374039896629646,TF_decrease,0.3415777141369435_KS,0.24609396997774652,0.3048666847270666,False,False
1053,MA0507.3.POU2F2,0.6794734004865767,TF_increase,0.3877211238293444_KS,0.3436978092358097,0.404182930943975,False,False
1054,MA1527.2.NFIC,0.2830033393881352,TF_increase,0.194487881157154_KS,0.687571629684427,0.7225544600569002,False,False
1055,MA1101.3.BACH2,0.1644624747435721,TF_increase,0.3539661898569571_KS,0.5919527265648804,0.6343946201676455,False,False
1056,MA0834.2.ATF7,0.5076460785767527,TF_increase,0.7260914760914761_KS,0.5481943361912182,0.5982216771500709,False,False
1057,MA1553.2.RARG,-0.037481282326250254,TF_decrease,0.4660774629581492_KS,0.6269998039288778,0.6644326280440347,False,False
1058,MA1977.2.ZNF324,0.8530372955276754,TF_increase,0.46435076762945615_KS,0.10524165473603032,0.14473912806311193,False,False
1059,MA0655.1.JDP2,0.0358872680820424,TF_increase,0.3109724388975559_KS,0.8563714658808871,0.8709382141814572,False,False
1060,MA0052.4.MEF2A,-0.22424541030950348,TF_decrease,0.6091476091476091_KS,0.7820213042348655,0.8068812003731219,False,False
1061,MA0025.1.NFIL3,-0.761055923773599,TF_decrease,0.5749935014296854_KS,0.3616421145649529,0.42353138365544996,False,False
1062,MA1968.1.TFCP2,0.5986136142343604,TF_increase,0.5674551598648298_KS,0.37457281611607396,0.4337560847174924,False,False
1063,MA2097.1.ZNF75A,0.07865210347849913,TF_increase,0.31271120353522225_KS,0.9686280800855988,0.9729102555059596,False,False
1064,MA0507.2.POU2F2,0.6835694245868339,TF_increase,0.5377763328998699_KS,0.13284052073774413,0.17753744889185571,False,False
1065,MA1975.1.ZNF214,1.1744568696257873,TF_increase,0.7278876170655567_KS,0.003217702821025055,0.006586144873305338,True,True
1066,MA0043.3.HLF,0.3478033886854993,TF_increase,0.20982026569419118_KS,0.6984093768906752,0.7325882291300156,False,False
1067,MA1714.2.ZNF675,0.2524109203769773,TF_increase,0.5614764751754614_KS,0.384989702214954,0.4422126407645983,False,False
1068,MA0491.2.JUND,0.36060953972390936,TF_increase,0.6464777748895243_KS,0.25031233643860307,0.30874572659528027,False,False
1069,MA0477.1.FOSL1,0.29242575844156105,TF_increase,0.22990258050122703_KS,0.7805563043940673,0.806101783446964,False,False
1070,MA1928.2.BNC2,0.3099596652332127,TF_increase,0.322840790842872_KS,0.5746546588185807,0.6193621370188876,False,False
